,Company,TypeName,Ram,Weight,Touchscreen,IPS Panel,PPI,C_name,SSD,Brand,OS
409,Lenovo,Notebook,2,1.15,0,0,135.0942112,Other Intel Processor,0,Intel,Windows
432,Lenovo,Notebook,4,1.7,0,1,157.3505121,Intel Core i3,128,Intel,Windows
471,HP,Notebook,8,1.9,0,0,141.2119981,Intel Core i5,0,AMD,Windows
1156,MSI,Gaming,16,2.7,0,0,127.3356746,Intel Core i7,256,Nvidia,Windows
174,HP,Notebook,8,2.5,0,0,127.3356746,Intel Core i5,256,Nvidia,Windows
925,Dell,Notebook,4,1.95,0,0,100.4546699,Intel Core i5,0,Intel,Windows
567,Fujitsu,Notebook,8,2.2,0,0,100.4546699,Intel Core i5,0,Intel,Windows
1107,Lenovo,2 in 1 Convertible,4,2.1,1,1,141.2119981,Intel Core i5,256,Intel,Windows
265,Dell,2 in 1 Convertible,8,2.67,1,0,141.2119981,Intel Core i5,256,Intel,Windows
54,Acer,Notebook,4,2.4,0,0,100.4546699,Intel Core i3,0,Intel,Windows
210,Acer,Notebook,8,2.4,0,0,141.2119981,Intel Core i7,0,Nvidia,Other
306,HP,2 in 1 Convertible,16,1.28,1,0,165.6321181,Intel Core i7,256,Intel,Windows
624,HP,Notebook,4,1.88,0,0,100.4546699,Intel Core i5,0,Intel,Windows
56,HP,Notebook,4,1.91,0,0,141.2119981,Intel Core i3,128,Intel,Windows
1240,Lenovo,Notebook,6,2.2,0,0,141.2119981,AMD Processor,256,AMD,Windows
163,Lenovo,Gaming,16,2.5,0,1,141.2119981,Intel Core i7,256,Nvidia,Windows
109,Lenovo,Notebook,8,1.58,0,1,157.3505121,Intel Core i7,256,Intel,Windows
254,Acer,Notebook,4,3,0,1,127.3356746,Intel Core i3,256,Nvidia,Windows
673,Lenovo,Notebook,4,2.2,0,0,100.4546699,AMD Processor,128,AMD,Windows
351,HP,Notebook,8,1.84,0,0,141.2119981,Intel Core i7,256,Intel,Windows
994,Dell,2 in 1 Convertible,8,1.68,1,0,165.6321181,Intel Core i5,256,Intel,Windows
549,Lenovo,Notebook,8,1.99,0,1,141.2119981,Intel Core i7,512,Intel,Windows
993,Lenovo,Notebook,8,2.3,0,0,141.2119981,Intel Core i5,256,Intel,Windows
261,Lenovo,Notebook,4,2.2,0,0,141.2119981,Intel Core i3,256,Intel,Other
494,Asus,Gaming,24,3.35,1,1,127.3356746,Intel Core i7,256,Nvidia,Windows
1018,Toshiba,Notebook,8,1.47,0,1,157.3505121,Intel Core i5,256,Intel,Windows
405,Asus,Ultrabook,8,1.1,0,0,157.3505121,Intel Core i7,512,Intel,Windows
1246,Dell,Notebook,4,1.6,0,0,111.9352036,Intel Core i5,0,Intel,Windows
721,HP,2 in 1 Convertible,8,1.58,1,1,117.8265301,Intel Core i5,256,Intel,Windows
1035,HP,Ultrabook,8,1.26,0,0,176.2325736,Intel Core i7,256,Intel,Windows
339,Dell,Notebook,8,2,0,0,141.2119981,Intel Core i5,256,Nvidia,Windows
644,Acer,Notebook,4,2.4,0,0,100.4546699,Intel Core i3,0,Intel,Windows
477,Lenovo,Notebook,8,1.7,0,0,157.3505121,Intel Core i5,180,Intel,Windows
1031,Acer,Notebook,6,2.1,0,0,100.4546699,AMD Processor,0,AMD,Windows
1211,Asus,Notebook,16,2.2,0,0,141.2119981,Intel Core i7,128,Nvidia,Windows
849,HP,Ultrabook,8,1.54,0,0,157.3505121,Intel Core i7,512,Intel,Windows
1084,Dell,Notebook,8,2.18,0,0,141.2119981,Intel Core i5,256,Intel,Windows
921,HP,Ultrabook,8,1.84,0,0,141.2119981,Intel Core i7,256,AMD,Windows
931,HP,Ultrabook,4,1.26,0,0,176.2325736,Intel Core i5,0,Intel,Windows
858,Dell,Notebook,8,1.62,1,0,165.6321181,Intel Core i5,0,Intel,Windows
983,Fujitsu,Notebook,4,2.3,0,0,100.4546699,Intel Core i5,256,Intel,Windows
865,HP,Notebook,4,2.07,0,0,141.2119981,Intel Core i5,0,Intel,Windows
714,Dell,Notebook,16,1.93,0,0,141.2119981,Intel Core i5,512,Intel,Windows
881,HP,2 in 1 Convertible,4,2.3,1,0,100.4546699,Intel Core i5,0,Intel,Windows
170,Huawei,Ultrabook,8,1.05,0,1,199.6920706,Intel Core i5,256,Intel,Windows
1077,MSI,Gaming,16,3.35,0,0,127.3356746,Intel Core i7,256,Nvidia,Windows
730,Acer,Gaming,16,3.35,0,1,127.3356746,Intel Core i7,128,Nvidia,Windows
